year;transportModeCode;speedKPH;notes
0;7;4;http://orbis.stanford.edu/#roadtime
1900;7;30;early automobiles
1910;7;30;
1920;1;100;Aviation is introduced
1920;3;70;railway is introduced
1920;7;40;
1930;1;200;
1930;3;70;
1930;7;50;
1940;1;300;
1940;3;70;
1940;7;60;
1940;6;100;expressways are introduced
1950;1;750;
1950;3;100;
1950;6;100;
1950;7;80;
1960;1;750;
1960;3;100;
1960;6;100;
1960;7;80;
1970;1;750;
1970;3;100;
1970;31;150;https://en.wikipedia.org/wiki/Shinkansen#Initial_success
1970;6;100;
1970;7;80;
1980;1;750;
1980;3;100;
1980;31;200;
1980;6;100;
1980;7;80;
1990;1;750;
1990;3;100
1990;31;250;
1990;6;100;
1990;7;80;
2000;1;750;
2000;3;100;
2000;31;250;
2000;6;100;
2000;7;80;
2010;1;750;
2010;3;100;
2010;31;250;
2010;6;100;
2010;7;80;
