Index,cityCode,pop1950,pop1955,pop1960,pop1965,pop1970,pop1975,pop1980,pop1985,pop1990,pop1995,pop2000,pop2005,pop2010,pop2015,pop2020,pop2025,pop2030
1,160010,,,,,,,,,685000,685000,685000,685000,685000,685000,,,
2,160020,,,,,,,,,950000,950000,950000,950000,950000,950000,685000,,
3,160030,,,,,,,,,1214000,1214000,1214000,1214000,1214000,1214000,950000,,
4,160040,,,,,,,,,4800000,4800000,4800000,4800000,4800000,4800000,1214000,,
5,160050,,,,,,,,,492000,492000,492000,492000,492000,492000,4800000,,
6,160070,,,,,,,,,10660000,10660000,10660000,10660000,10660000,10660000,492000,,
7,160090,,,,,,,,,608000,608000,608000,608000,608000,608000,10660000,,
8,160100,,,,,,,,,101000,101000,101000,101000,101000,101000,608000,,
9,160120,,,,,,,,,190000,190000,190000,190000,190000,190000,101000,,
10,160130,,,,,,,,,254000,254000,254000,254000,254000,254000,190000,,
11,160140,,,,,,,,,92000,92000,92000,92000,92000,92000,254000,,
12,160150,,,,,,,,,83000,83000,83000,83000,83000,83000,92000,,
13,160160,,,,,,,,,201000,201000,201000,201000,201000,201000,83000,,
14,160170,,,,,,,,,59000,59000,59000,59000,59000,59000,201000,,
15,160180,,,,,,,,,245000,245000,245000,245000,245000,245000,59000,,
16,160200,,,,,,,,,59000,59000,59000,59000,59000,59000,245000,,
17,160210,,,,,,,,,189000,189000,189000,189000,189000,189000,59000,,
18,160220,,,,,,,,,206000,206000,206000,206000,206000,206000,189000,,
19,160230,,,,,,,,,270000,270000,270000,270000,270000,270000,206000,,
20,160240,,,,,,,,,105000,105000,105000,105000,105000,105000,270000,,
21,160250,,,,,,,,,100000,100000,100000,100000,100000,100000,105000,,
22,160260,,,,,,,,,101000,101000,101000,101000,101000,101000,100000,,
23,160270,,,,,,,,,170000,170000,170000,170000,170000,170000,101000,,
24,160280,,,,,,,,,236000,236000,236000,236000,236000,236000,170000,,
25,160290,,,,,,,,,48000,48000,48000,48000,48000,48000,236000,,
26,160300,,,,,,,,,379000,379000,379000,379000,379000,379000,48000,,
27,160310,,,,,,,,,188000,188000,188000,188000,188000,188000,379000,,
28,160320,,,,,,,,,3000,3000,3000,3000,3000,3000,188000,,
29,160340,,,,,,,,,35000,35000,35000,35000,35000,35000,3000,,
30,160350,,,,,,,,,243000,243000,243000,243000,243000,243000,35000,,
31,160360,,,,,,,,,136000,136000,136000,136000,136000,136000,243000,,
32,160380,,,,,,,,,63000,63000,63000,63000,63000,63000,136000,,
33,160390,,,,,,,,,134000,134000,134000,134000,134000,134000,63000,,
34,160410,,,,,,,,,60000,60000,60000,60000,60000,60000,134000,,
35,160420,,,,,,,,,124000,124000,124000,124000,124000,124000,60000,,
36,160430,,,,,,,,,45000,45000,45000,45000,45000,45000,124000,,
37,160440,,,,,,,,,137000,137000,137000,137000,137000,137000,45000,,
38,160800,,,,,,,,,67000,67000,67000,67000,67000,67000,137000,,
39,165102,,,,,,,,,206000,206000,206000,206000,206000,206000,67000,,
40,165400,,,,,,,,,310000,310000,310000,310000,310000,310000,206000,,
41,168000,,,,,,,,,154000,154000,154000,154000,154000,154000,310000,,
42,160450,,,,,,,,,193000,193000,193000,193000,193000,193000,154000,,
43,160031,,,,,,,,,226000,226000,226000,226000,226000,226000,193000,,
44,160032,,,,,,,,,388000,388000,388000,388000,388000,388000,226000,,
45,160033,,,,,,,,,223000,223000,223000,223000,223000,223000,388000,,
46,160039,,,,,,,,,45000,45000,45000,45000,45000,45000,223000,,
47,160041,,,,,,,,,145000,145000,145000,145000,145000,145000,45000,,
48,160051,,,,,,,,,437000,437000,437000,437000,437000,437000,145000,,
49,160049,,,,,,,,,475000,475000,475000,475000,475000,475000,437000,,
50,160048,,,,,,,,,400000,400000,400000,400000,400000,400000,475000,,
